AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,target,target_name
-0.84,-5.84,-1.65,0.49,-0.08,1.77,-5.84,-0.84,0.0,walk
-1.13,-5.58,-1.4,0.52,-0.25,2.11,-5.58,-1.13,0.0,walk
-1.76,-6.36,-1.66,0.7,-0.43,2.44,-6.36,-1.76,0.0,walk
-2.24,-7.44,-1.81,0.53,-0.57,2.58,-7.44,-2.24,0.0,walk
-2.38,-8.29,-2.04,0.53,-0.73,2.57,-8.29,-2.38,0.0,walk
-2.85,-8.19,-2.43,0.54,-0.82,2.45,-8.19,-2.85,0.0,walk
-3.35,-8.04,-2.57,0.31,-0.87,2.44,-8.04,-3.35,0.0,walk
-3.63,-8.91,-3.03,0.51,-0.9,2.54,-8.91,-3.63,0.0,walk
-3.98,-9.59,-3.34,0.65,-0.85,2.53,-9.59,-3.98,0.0,walk
-4.06,-9.88,-3.32,0.66,-0.81,2.4,-9.88,-4.06,0.0,walk
-4.7,-9.46,-3.28,0.57,-0.8,2.24,-9.46,-4.7,0.0,walk
-5.06,-8.42,-2.97,0.26,-0.77,2.18,-8.42,-5.06,0.0,walk
-5.32,-8.53,-2.69,0.27,-0.87,2.38,-8.53,-5.32,0.0,walk
-5.67,-9.49,-3.27,0.44,-0.95,2.47,-9.49,-5.67,0.0,walk
-5.77,-10.07,-3.43,0.58,-0.9,2.32,-10.07,-5.77,0.0,walk
-5.89,-9.59,-3.13,0.8,-0.91,2.2,-9.59,-5.89,0.0,walk
-6.27,-9.44,-3.28,0.9,-0.9,2.08,-9.44,-6.27,0.0,walk
-6.36,-8.63,-3.32,0.81,-0.9,1.97,-8.63,-6.36,0.0,walk
-7.34,-8.01,-3.51,0.81,-0.92,2.12,-8.01,-7.34,0.0,walk
-7.39,-8.39,-3.46,0.67,-0.87,2.36,-8.39,-7.39,0.0,walk
-7.81,-10.15,-3.73,0.77,-0.98,2.62,-10.15,-7.81,0.0,walk
-7.68,-11.2,-4.17,0.91,-0.89,2.44,-11.2,-7.68,0.0,walk
-7.72,-10.97,-3.89,1.01,-0.79,2.14,-10.97,-7.72,0.0,walk
-7.79,-9.86,-3.65,1.18,-0.73,1.91,-9.86,-7.79,0.0,walk
-7.77,-8.74,-3.34,1.3,-0.68,1.83,-8.74,-7.77,0.0,walk
-7.9,-8.22,-3.23,1.36,-0.68,1.83,-8.22,-7.9,0.0,walk
-8.23,-7.84,-3.45,1.35,-0.66,1.75,-7.84,-8.23,0.0,walk
-7.74,-7.45,-3.59,1.43,-0.53,1.69,-7.45,-7.74,0.0,walk
-8.41,-7.53,-3.46,1.81,-0.41,1.69,-7.53,-8.41,0.0,walk
-8.24,-7.99,-2.4,1.98,-0.24,1.63,-7.99,-8.24,0.0,walk
-8.42,-7.74,-1.57,2.22,-0.3,1.49,-7.74,-8.42,0.0,walk
-7.76,-6.36,-1.31,2.11,-0.3,1.45,-6.36,-7.76,0.0,walk
-8.79,-6.19,-1.28,1.73,-0.36,1.62,-6.19,-8.79,0.0,walk
-9.01,-6.63,-1.27,1.69,-0.38,1.79,-6.63,-9.01,0.0,walk
-9.06,-6.63,-1.54,1.66,-0.37,1.83,-6.63,-9.06,0.0,walk
-9.12,-6.94,-1.47,1.3,-0.28,1.92,-6.94,-9.12,0.0,walk
-9.33,-7.98,-1.2,1.22,-0.26,1.93,-7.98,-9.33,0.0,walk
-9.34,-8.16,-1.18,0.95,-0.23,1.82,-8.16,-9.34,0.0,walk
-9.26,-8.85,-0.79,0.71,-0.18,1.7,-8.85,-9.26,0.0,walk
-9.08,-9.51,-0.46,0.7,-0.18,1.49,-9.51,-9.08,0.0,walk
-8.99,-9.52,-0.41,0.54,-0.19,1.2,-9.52,-8.99,0.0,walk
-9.02,-9.05,-0.42,0.55,-0.13,0.97,-9.05,-9.02,0.0,walk
-8.86,-8.39,-0.1,0.72,-0.04,0.87,-8.39,-8.86,0.0,walk
-8.68,-8.16,0.41,0.69,-0.01,0.84,-8.16,-8.68,0.0,walk
-8.54,-8.3,0.79,0.46,-0.02,0.79,-8.3,-8.54,0.0,walk
